"state","high_school_higher_pop","pop_over_18","high_school_education_ratio","tot_pop","children_pop","children_ratio","elder_pop","elder_ratio","median_household_income","mean_household_income","household_poverty_rate","household_wealth_rate","flu_shot_coverage_2021"
"Alabama",3388801,3875294,0.874462943972767,4997675,927240,0.185534273437148,844427,0.168963968245234,54943,76150,0.129,0.107,47.1
"Alaska",511833,553217,0.925193911250016,735951,153708,0.208856296139281,90188,0.12254620212487,80287,103258,0.069,0.203,49
"Arizona",4805804,5464768,0.879415923969691,7079203,1332870,0.188279669335658,1243859,0.175706078777512,65913,89693,0.089,0.144,44.1
"Arkansas",2018815,2300524,0.877545724365405,3006309,583476,0.194083841680945,505361,0.168100152046912,52123,73346,0.122,0.092,49.8
"California",25862113,30462921,0.848970228429506,39455353,7442809,0.188638763414435,5669879,0.14370366930946,84097,119149,0.082,0.25,48.1
"Colorado",4095891,4460441,0.91827041317215,5723176,1042165,0.182095570711088,819254,0.143146742298332,80184,107446,0.072,0.209,57.5
"Connecticut",2602544,2860839,0.909713549067249,3605330,603033,0.167261526684104,620179,0.17201726332957,83572,120670,0.082,0.246,63
"Delaware",702116,774247,0.906837223780008,981892,171507,0.174669922965051,186375,0.189812117829659,72724,97081,0.082,0.17,53.4
"District of Columbia",515277,558132,0.923217088430694,683154,109476,0.16025083656101,83199,0.121786595701701,93547,138421,0.119,0.313,63.7
"Florida",15153679,17078449,0.88729831379887,21339762,3518976,0.164902307720208,4346965,0.203702599869671,61777,88267,0.098,0.136,42.3
"Georgia",7111414,8093418,0.878666343441053,10625615,2084511,0.1961779153489,1479832,0.139270244592901,65030,91082,0.101,0.152,46.5
"Hawaii",1059385,1142478,0.927269496655516,1453498,262752,0.180772178565089,268789,0.184925607052779,88005,113310,0.073,0.241,54.5
"Idaho",1225516,1352787,0.905919409337908,1811617,378064,0.208688701861376,287098,0.158476101736736,63377,83777,0.081,0.116,42.3
"Illinois",8913377,9934462,0.897217886585101,12821813,2373370,0.185104087854034,2012735,0.156977410292913,72563,100719,0.094,0.186,51.9
"Indiana",4605822,5159253,0.892730401087134,6751340,1313812,0.194600183074767,1057547,0.156642533186005,61944,81703,0.094,0.114,50.4
"Iowa",2251469,2436915,0.923901326061845,3179090,614582,0.193320101035202,540542,0.170030417509413,65429,84948,0.085,0.122,55.3
"Kansas",2023078,2217948,0.912139509131864,2932099,592180,0.201964531211259,464028,0.158257957865679,64521,87033,0.087,0.133,52.9
"Kentucky",3046695,3472232,0.877445689112939,4494141,845943,0.188232411933671,734851,0.163513116299644,55454,76511,0.128,0.101,48.5
"Louisiana",3059561,3556222,0.860340271220413,4657305,916689,0.196828208588443,722446,0.15512104103124,53571,77025,0.143,0.115,43.1
"Maine",1028302,1102461,0.932733221401936,1357046,207518,0.152918913581411,280821,0.206935505502393,63182,83914,0.097,0.124,58.5
"Maryland",4323111,4775396,0.905288482881838,6148545,1137119,0.184941152744267,949890,0.154490208659122,91431,120234,0.071,0.265,61.9
"Massachusetts",5099985,5602128,0.910365668188945,6991852,1135680,0.162429067434494,1156031,0.165339741173011,89026,123174,0.088,0.274,62.9
"Michigan",7176298,7873656,0.9114314874818,10062512,1793929,0.178278445779742,1733056,0.172228962310803,63202,85727,0.099,0.133,55.7
"Minnesota",4039526,4346903,0.929288277194131,5670472,1098231,0.19367541185284,901517,0.15898447254479,77706,102691,0.071,0.188,57.7
"Mississippi",1938139,2260969,0.857216087438616,2967023,582854,0.196444045091663,472931,0.159395798414775,49111,68636,0.151,0.084,38.2
"Missouri",4306790,4749159,0.906853192323104,6141534,1151361,0.187471240898447,1033836,0.168335142327633,61043,83152,0.099,0.121,49.9
"Montana",791178,845163,0.936124747533908,1077978,192837,0.178887695296193,202454,0.187809027642494,60560,82237,0.097,0.116,46.3
"Nebraska",1339347,1465570,0.913874465225134,1951480,404438,0.207246807551192,305771,0.156686719822904,66644,87815,0.082,0.13,54.6
"Nevada",2055532,2365208,0.869070288955559,3059238,576565,0.188466866585731,482407,0.157688613962039,65686,89562,0.092,0.14,42
"New Hampshire",1037298,1111560,0.933191190758933,1372175,211268,0.153965784247636,250136,0.182291617322863,83449,108061,0.063,0.217,62.1
"New Jersey",6506079,7193582,0.904428280653505,9234024,1678296,0.181751314486512,1494516,0.161848832101801,89703,124626,0.075,0.275,59.3
"New Mexico",1403735,1624040,0.864347553015936,2109366,400356,0.189799209809962,369541,0.175190554887108,54020,74363,0.135,0.103,51.7
"New York",13937664,15897349,0.876728818119298,20114745,3492850,0.173646248063299,3330159,0.165558101780559,75157,111583,0.105,0.219,54.4
"North Carolina",7171564,8064707,0.889252889162619,10367022,1897232,0.183006460293033,1686235,0.16265374955315,60516,84888,0.103,0.13,50.6
"North Dakota",547601,588886,0.92989305230554,773344,156465,0.202322640377374,118198,0.152840133239542,68131,89443,0.09,0.14,52.6
"Ohio",8291390,9139934,0.907160817572643,11769923,2166308,0.184054560085057,2004802,0.170332635141283,61938,83820,0.104,0.125,49.6
"Oklahoma",2637291,2987066,0.882903491251951,3948136,798931,0.202356504436524,615832,0.155980442416371,56956,78040,0.108,0.104,42.9
"Oregon",3033985,3333691,0.91009784650107,4207177,722001,0.171611748210261,743125,0.176632692182906,70084,94034,0.088,0.163,49.8
"Pennsylvania",9340967,10266168,0.909878642157424,12970650,2223539,0.171428494331433,2361790,0.182087250831685,67587,92849,0.094,0.158,55.1
"Rhode Island",786635,879286,0.894629278755718,1091949,174108,0.159447007140443,188586,0.172705868131204,74489,97908,0.098,0.177,66.1
"South Carolina",3518134,3969100,0.886380791615228,5078903,917828,0.180713827375715,901497,0.177498369234459,58234,81142,0.114,0.117,47.8
"South Dakota",607699,663087,0.916469482888369,881785,183488,0.208087005335768,146784,0.166462346263545,63920,83175,0.086,0.109,55.1
"Tennessee",4727214,5325254,0.887697375561804,6859497,1269024,0.18500248633391,1118190,0.163013410458522,58516,82012,0.109,0.117,47
"Texas",18199304,21416405,0.849783331983122,28862581,6177752,0.214040178873816,3620798,0.125449556988684,67321,94115,0.094,0.164,46.6
"Utah",2112734,2285307,0.924485856823613,3231370,784915,0.242904712242795,358168,0.110840912677904,79133,101412,0.061,0.173,50.3
"Vermont",488781,522748,0.935022228683802,641637,96890,0.151004384098797,125131,0.195018367082946,67674,89820,0.087,0.144,60.9
"Virginia",6071831,6689727,0.907635094825245,8582479,1567314,0.182617866003517,1328600,0.154803757748781,80615,111013,0.076,0.228,55.6
"Washington",5423653,5936904,0.913549048460275,7617364,1401756,0.184021139071206,1177772,0.154616741434438,82400,111431,0.071,0.222,55.9
"West Virginia",1264114,1434554,0.88118955438415,1801049,301678,0.167501272869311,358875,0.199258876354835,50884,69436,0.137,0.083,47.8
"Wisconsin",4233779,4578717,0.924664922509952,5871661,1062824,0.1810090875478,997078,0.169811915231482,67080,87733,0.08,0.13,53.3
"Wyoming",411509,442174,0.930649472831962,576641,111858,0.19398204428752,96540,0.167417856170477,68002,87786,0.087,0.13,41.2
