state,region,high_school_higher_pop,pop_over_18,high_school_education_ratio,tot_pop,children_pop,children_ratio,elder_pop,elder_ratio,median_household_income,mean_household_income,household_poverty_rate,household_wealth_rate,flu_shot_coverage_2021
Alabama,South,3388801,3875294,0.874462944,4997675,927240,0.185534273,844427,0.168963968,54943,76150,0.129,0.107,47.1
Alaska,West,511833,553217,0.925193911,735951,153708,0.208856296,90188,0.122546202,80287,103258,0.069,0.203,49
Arizona,West,4805804,5464768,0.879415924,7079203,1332870,0.188279669,1243859,0.175706079,65913,89693,0.089,0.144,44.1
Arkansas,South,2018815,2300524,0.877545724,3006309,583476,0.194083842,505361,0.168100152,52123,73346,0.122,0.092,49.8
California,West,25862113,30462921,0.848970228,39455353,7442809,0.188638763,5669879,0.143703669,84097,119149,0.082,0.25,48.1
Colorado,West,4095891,4460441,0.918270413,5723176,1042165,0.182095571,819254,0.143146742,80184,107446,0.072,0.209,57.5
Connecticut,Northeast,2602544,2860839,0.909713549,3605330,603033,0.167261527,620179,0.172017263,83572,120670,0.082,0.246,63
Delaware,South,702116,774247,0.906837224,981892,171507,0.174669923,186375,0.189812118,72724,97081,0.082,0.17,53.4
District of Columbia,South,515277,558132,0.923217088,683154,109476,0.160250837,83199,0.121786596,93547,138421,0.119,0.313,63.7
Florida,South,15153679,17078449,0.887298314,21339762,3518976,0.164902308,4346965,0.2037026,61777,88267,0.098,0.136,42.3
Georgia,South,7111414,8093418,0.878666343,10625615,2084511,0.196177915,1479832,0.139270245,65030,91082,0.101,0.152,46.5
Hawaii,West,1059385,1142478,0.927269497,1453498,262752,0.180772179,268789,0.184925607,88005,113310,0.073,0.241,54.5
Idaho,West,1225516,1352787,0.905919409,1811617,378064,0.208688702,287098,0.158476102,63377,83777,0.081,0.116,42.3
Illinois,Midwest,8913377,9934462,0.897217887,12821813,2373370,0.185104088,2012735,0.15697741,72563,100719,0.094,0.186,51.9
Indiana,Midwest,4605822,5159253,0.892730401,6751340,1313812,0.194600183,1057547,0.156642533,61944,81703,0.094,0.114,50.4
Iowa,Midwest,2251469,2436915,0.923901326,3179090,614582,0.193320101,540542,0.170030418,65429,84948,0.085,0.122,55.3
Kansas,Midwest,2023078,2217948,0.912139509,2932099,592180,0.201964531,464028,0.158257958,64521,87033,0.087,0.133,52.9
Kentucky,South,3046695,3472232,0.877445689,4494141,845943,0.188232412,734851,0.163513116,55454,76511,0.128,0.101,48.5
Louisiana,South,3059561,3556222,0.860340271,4657305,916689,0.196828209,722446,0.155121041,53571,77025,0.143,0.115,43.1
Maine,Northeast,1028302,1102461,0.932733221,1357046,207518,0.152918914,280821,0.206935506,63182,83914,0.097,0.124,58.5
Maryland,South,4323111,4775396,0.905288483,6148545,1137119,0.184941153,949890,0.154490209,91431,120234,0.071,0.265,61.9
Massachusetts,Northeast,5099985,5602128,0.910365668,6991852,1135680,0.162429067,1156031,0.165339741,89026,123174,0.088,0.274,62.9
Michigan,Midwest,7176298,7873656,0.911431487,10062512,1793929,0.178278446,1733056,0.172228962,63202,85727,0.099,0.133,55.7
Minnesota,Midwest,4039526,4346903,0.929288277,5670472,1098231,0.193675412,901517,0.158984473,77706,102691,0.071,0.188,57.7
Mississippi,South,1938139,2260969,0.857216087,2967023,582854,0.196444045,472931,0.159395798,49111,68636,0.151,0.084,38.2
Missouri,Midwest,4306790,4749159,0.906853192,6141534,1151361,0.187471241,1033836,0.168335142,61043,83152,0.099,0.121,49.9
Montana,West,791178,845163,0.936124748,1077978,192837,0.178887695,202454,0.187809028,60560,82237,0.097,0.116,46.3
Nebraska,Midwest,1339347,1465570,0.913874465,1951480,404438,0.207246808,305771,0.15668672,66644,87815,0.082,0.13,54.6
Nevada,West,2055532,2365208,0.869070289,3059238,576565,0.188466867,482407,0.157688614,65686,89562,0.092,0.14,42
New Hampshire,Northeast,1037298,1111560,0.933191191,1372175,211268,0.153965784,250136,0.182291617,83449,108061,0.063,0.217,62.1
New Jersey,Northeast,6506079,7193582,0.904428281,9234024,1678296,0.181751314,1494516,0.161848832,89703,124626,0.075,0.275,59.3
New Mexico,West,1403735,1624040,0.864347553,2109366,400356,0.18979921,369541,0.175190555,54020,74363,0.135,0.103,51.7
New York,Northeast,13937664,15897349,0.876728818,20114745,3492850,0.173646248,3330159,0.165558102,75157,111583,0.105,0.219,54.4
North Carolina,South,7171564,8064707,0.889252889,10367022,1897232,0.18300646,1686235,0.16265375,60516,84888,0.103,0.13,50.6
North Dakota,Midwest,547601,588886,0.929893052,773344,156465,0.20232264,118198,0.152840133,68131,89443,0.09,0.14,52.6
Ohio,Midwest,8291390,9139934,0.907160818,11769923,2166308,0.18405456,2004802,0.170332635,61938,83820,0.104,0.125,49.6
Oklahoma,South,2637291,2987066,0.882903491,3948136,798931,0.202356504,615832,0.155980442,56956,78040,0.108,0.104,42.9
Oregon,West,3033985,3333691,0.910097847,4207177,722001,0.171611748,743125,0.176632692,70084,94034,0.088,0.163,49.8
Pennsylvania,Northeast,9340967,10266168,0.909878642,12970650,2223539,0.171428494,2361790,0.182087251,67587,92849,0.094,0.158,55.1
Rhode Island,Northeast,786635,879286,0.894629279,1091949,174108,0.159447007,188586,0.172705868,74489,97908,0.098,0.177,66.1
South Carolina,South,3518134,3969100,0.886380792,5078903,917828,0.180713827,901497,0.177498369,58234,81142,0.114,0.117,47.8
South Dakota,Midwest,607699,663087,0.916469483,881785,183488,0.208087005,146784,0.166462346,63920,83175,0.086,0.109,55.1
Tennessee,South,4727214,5325254,0.887697376,6859497,1269024,0.185002486,1118190,0.16301341,58516,82012,0.109,0.117,47
Texas,South,18199304,21416405,0.849783332,28862581,6177752,0.214040179,3620798,0.125449557,67321,94115,0.094,0.164,46.6
Utah,West,2112734,2285307,0.924485857,3231370,784915,0.242904712,358168,0.110840913,79133,101412,0.061,0.173,50.3
Vermont,Northeast,488781,522748,0.935022229,641637,96890,0.151004384,125131,0.195018367,67674,89820,0.087,0.144,60.9
Virginia,South,6071831,6689727,0.907635095,8582479,1567314,0.182617866,1328600,0.154803758,80615,111013,0.076,0.228,55.6
Washington,West,5423653,5936904,0.913549048,7617364,1401756,0.184021139,1177772,0.154616741,82400,111431,0.071,0.222,55.9
West Virginia,South,1264114,1434554,0.881189554,1801049,301678,0.167501273,358875,0.199258876,50884,69436,0.137,0.083,47.8
Wisconsin,Midwest,4233779,4578717,0.924664923,5871661,1062824,0.181009088,997078,0.169811915,67080,87733,0.08,0.13,53.3
Wyoming,West,411509,442174,0.930649473,576641,111858,0.193982044,96540,0.167417856,68002,87786,0.087,0.13,41.2
